Drug_Class_ID,Drug_Class_Name
0,N/A
1,4-Quinolone preparations
2,5-HT Agonists
3,Abdominal gas adsorbent preparations
4,Acne treatment preparations
5,Adenosine triphosphate-citrate lyase (ACL) inhibitor
6,Adjunct anti-epileptic drugs
7,Aldose reductase inhibitor
8,Alpha adrenoceptor blocking drugs
9,Alpha and Beta-adrenergic agonist
10,Alpha-Glucosidase inhibitor
11,Aminoglycosides
12,Aminosalicylates
13,Amoebicides
14,Anabolic steroid (Androgens)
15,Anaphylaxis
16,Angiotensin-converting enzyme (ACE) inhibitors
17,Angiotensin-ll receptor blocker
18,Antacid with laxative action
19,Antacids
20,Anthelmintic
21,Anti adrenergic agent (Beta blockers)
22,Anti H. pylori drugs
23,Anti neoplastic preparations
24,Anti vertigo drugs
25,Anti-Alzheimer drugs
26,Anti-anginal & lipid lowering drugs
27,Antiarrhythmic Therapy
28,Anticavity Mouthwash
29,Anti-cholinergic & anti-psychotic combination drugs
30,Anticholinergic bronchodilators
31,Anticholinergics
32,Anticholinergics (antimuscarinics)/ Anti-spasmodics
33,Anti-cholinesterases
34,Anti-coagulants
35,Anti-diarrhoeal
36,Anti-diarrhoeal Antimicrobial drugs
37,Anti-diarrhoeal Antiprotozoal
38,Anti-diarrhoeal Enzyme
39,Antidote preparations
40,Anti-dyspeptic/Carminatives
41,Anti-emetic drugs
42,Anti-fibrinolytic drugs
43,Anti-fungal or anti-bacterial ear drops
44,Anti-gallstones drugs: Bile Acids
45,Antihaemophilic factor
46,Anti-histamine & decongestant
47,Anti-histamine Preparations
48,Antihistamines anti-allergies & hypo-sensitisation
49,Anti-hypertensive
50,Anti-infective & Anesthetic combined preparations
51,Anti-Leprotic drugs
52,Anti-malarial drugs
53,Anti-manic drugs
54,Anti-motility drugs
55,Anti-oxidant Multivitamin Multimineral preparations
56,Anti-oxidant Multivitamin preparations
57,Antioxidant vitamins & minerals for eye
58,Antiparkinson drugs
59,Anti-platelet drugs
60,Anti-thyroid drugs
61,Anti-Tubercular Antibiotics
62,Anti-Tubercular Chemotherapeutics
63,Anti-viral drugs
64,Appetite suppressant drugs/Anti-obesity drugs
65,Atypical anti-depressant drugs
66,Atypical neuroleptic drugs
67,Aural Anti-bacterial preparations
68,Aural Anti-fungal preparations
