Generic_ID,Generic_Name,Drug_Class_ID
1,23 herb formula to increase breast milk,208
2,Abacavir + Lamivudine + Zidovudine,147
3,Abemaciclib,346
4,Abhayarista,208
5,Abiraterone Acetate,125
6,Acacia + Dates + Asparagus + Edible Pine,208
7,Acalabrutinib,405
8,Acarbose,10
9,Aceclofenac,156
10,Acemetacin,279
11,Acetate Formulation [Hemodialysis Solution],201
12,Acetazolamide,94
13,Acetylcysteine,39
14,Acidic component [HCO3 Hemodialysis Solution],201
15,Acitretin,299
16,Aclidinium Bromide + Formoterol Fumarate,112
17,Activated Charcoal,39
18,Acyclovir (Injection),209
19,Acyclovir (Ophthalmic),285
20,Acyclovir (Oral),209
21,Acyclovir (Topical),395
22,Acyclovir + Hydrocortisone,215
23,Adalimumab,220
24,Adapalene,397
25,Adapalene + Benzoyl peroxide,397
26,Adefovir Dipivoxil,206
27,Adenosine,326
28,Adhatoda vasica + Centella asiatica,0
29,Adrenaline,303
30,Adsorbed Tetanus Vaccine,409
31,Afatinib Dimaleate,405
32,Aflibercept,125
33,Agomelatine,65
34,Albendazole,20
35,Albumin (Human),334
36,Alcaftadine,282
37,Alectinib,346
38,Alendronic acid,83
39,Alendronic Acid + Vitamin D3,117
40,Alfacalcidol,413
41,Alfuzosin Hydrochloride,86
42,Allium cepa + Heparin + Allantoin,0
43,Allopurinol,164
44,Allylestrenol,183
45,Almitrine Bismesylate + Raubasine,99
46,Almond + Coconut + Edible Pine + Salep,208
47,Almotriptan,2
48,Aloe + Black Pepper + Henbane,208
49,Aloe indica+ Hyoscyamus niger + Piper nigrum,208
50,Alogliptin Benzoate,130
51,Alpha Lipoic Acid,0
52,Alphanate,203
53,Alprazolam,75
54,Alteplase,185
55,Aluminium Chloride + Melaleuca Alternifolia Oil + Geothermal water,257
56,Aluminium Chloride Hexahydrate,257
57,Aluminium Hydroxide + Magnesium Hydroxide,19
58,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,19
59,Aluminium Oxide + Magnesium Trisilicate,18
60,Alverine Citrate,31
61,Amalaki Rasayana,208
62,Amantadine Hydrochloride,355
63,Ambar Momiyaee,208
64,Ambergris + Salep + Galangal,208
65,Ambrisentan,49
66,Ambroxol Hydrochloride,121
67,Amikacin,11
68,Amino Acid,325
69,Amino Acid + Calcium,162
70,Amino Acid + Dextrose + Eloctrolytes,325
71,Amino Acid + D-Sorbitol + Electrolytes,325
72,Amino Acid + Glucose + Electrolytes,325
73,Amino Acid Keto Analogues,312
74,Aminocaproic acid,42
75,Aminophylline,88
76,Amiodarone Hydrochloride,336
77,Amisulpride,66
78,Amitriptyline Hydrochloride,403
79,Amitriptyline Hydrochloride + Chlordiazepoxide,111
80,Amlexanox,0
81,Amlodipine Besilate,92
82,Amlodipine Besilate + Atenolol,110
83,Amlodipine Besilate + Atorvastatin,26
84,Amlodipine Besilate + Benazepril Hydrochloride,110
85,Amlodipine Besilate + Olmesartan Medoxomil,110
86,Amlodipine Besilate + Telmisartan,110
87,Amlodipine Besilate + Valsartan,110
88,Amorolfine Hydrochloride (cream),392
89,Amorolfine Hydrochloride (Nail Lacquer),316
90,Amoxicillin + Clavulanic Acid,87
91,Amoxicillin Trihydrate,87
92,Amphotericin B,307
93,Ampicillin Sodium,0
94,Anastrozole,210
95,Andrographis paniculata,208
96,Anidulafungin,172
97,Aniseed + Indian dill + Black cardamom + Peppermint,208
98,Antacid [Unani],208
99,Antazoline + Tetryzoline,315
100,Antihemophilic Factor [Factor VIII],45
101,Antioxidants and Micronutrients,55
102,Anti-Thymocyte Globulin,409
103,Apis mellifica + Gelsemium sempervirens + Gnaphalium,0
104,Apixaban,185
105,Apremilast,132
106,Aprepitant,41
107,Arabinoxylan,219
108,Aravindasav,208
109,Arformoterol Tartrate,88
110,Aripiprazole,66
111,Arjunarista,208
112,Armodafinil,105
113,Artemether,52
114,Artemether + Lumefantrine,52
115,Artesunate,52
116,Articaine Hydrochloride + Epinephrine,232
117,Ashokarista,208
118,Aspartame,297
119,Aspirin,59
120,Aspirin + Dipyridamole,59
121,Astaxanthin,377
122,Aswagandharista,208
123,Atenolol,78
124,Atenolol + Chlorthalidone,110
125,Atezolizumab,409
126,Atomoxetine Hydrochloride,105
127,Atorvastatin + Ezetimibe,314
128,Atorvastatin Calcium,304
129,Atosiban Acetate,316
130,Atracurium Besilate,273
131,Atropine Sulfate,262
132,Aushokarist [Saraca Indica],208
133,Avanafil,144
134,Axitinib,381
135,Azathioprine,126
136,Azelaic Acid,4
137,Azelastine Hydrochloride (Eye drop),47
138,Azelastine Hydrochloride (Nasal Spray),264
139,Azelastine Hydrochloride + Fluticasone Propionate,267
140,Azilsartan Medoxomil,17
141,Azilsartan Medoxomil + Chlorthalidone,110
142,Azithromycin Dihydrate,0
143,Azithromycin Dihydrate (Ophthalmic),244
144,Aztreonam,309
145,Bacillus Clausii spores,0
146,Bacitracin Zinc + Polymyxin B Sulfate,283
147,Baclofen,98
148,Bacopa extract [Natural memory enhancer],208
149,Balanced Salt Solution,228
150,Balarista,208
151,Baloxavir Marboxil,355
152,Bambuterol Hydrochloride,362
153,Bandish [Oak Galls; Tannic acid],208
154,Baricitinib,220
155,Barium Sulfate,119
156,Barsina,208
157,Basiliximab,126
158,Beclometasone Dipropionate + Formoterol Fumarate,353
159,Beclomethasone Dipropionate (Inhaler),353
160,Beclomethasone Dipropionate (Nasal Spray),267
161,Beclomethasone Dipropionate + Chloramphenicol + Clotrimazole + Lidocaine,43
162,Belgiri [Bael fruit + Connessi bark],208
163,Bempedoic acid,0
164,Bendamustine,125
165,Benzalkonium chloride,85
166,Benzathine Penicillin,238
167,Benzocaine,232
168,Benzocaine + Butamben + Tetracaine Hydrochloride,396
169,Benzocaine + Camphor + Methanol + Phenol,396
170,Benzoic Acid + Salicylic Acid,307
171,Benzoyl Peroxide,4
172,Benzydamine Hydrochloride,394
