Indication_ID,Indication_Name
1,Abdominal pain
2,Abortion
3,Abrasion
4,Abscesses
5,Absence seizures
6,Achalasia
7,Acid regurgitation
8,Acidosis
9,Acid-related dyspepsia
10,Acne rosacea
11,Acne vulgaris
12,Acquired immunodeficiency syndrome (AIDS)
13,Acrocyanosis
14,Acromegaly
15,Acromegaly and hyperprolactinemia
16,Actinic keratosis
17,Active immunisation against diphtheria; tetanus and pertussis
18,Active immunisation against hepatitis A
19,Active immunisation against hepatitis B
20,Active immunisation against mumps
21,Active immunisation against Poliomyelitis
22,Active immunisation against rabies
23,Active immunisation against tetanus
24,Active immunisation against varicella infection
25,Active immunisation for the prevention of pneumonia
26,Active immunization against Hepatitis A virus
27,Active immunization against typhoid fever
28,Acute & chronic conjunctivitis
29,Acute agitation
30,Acute and chronic diseases of respiratory tracts
31,Acute and chronic non-infectious conjunctivitis
32,Acute asthma
33,Acute bacterial ear infections
34,Acute bacterial exacerbations of chronic bronchitis
35,Acute bacterial sinusitis
36,Acute bronchospasm
37,Acute coronary insufficiency
38,Acute coronary syndrome
39,Acute coronary syndromes (unstable angina; non-ST elevation MI; ST elevation MI)
40,Acute dental infections
41,Acute diarrhoea
42,Acute Evolving Myocardial Infarction
43,Acute Exacerbations of Chronic bronchitis
44,Acute Exposure to Blood Containing HBsAg
45,Acute gonorrheal urethritis
46,Acute gout
47,Acute gouty arthritis
48,Acute graft rejection in renal transplantation
49,Acute heart failure
50,Acute hemorrhoidal thrombosis
51,Acute hypertension
52,Acute hypovolaemic shock
53,Acute lupus erythematosus
54,Acute lymphoblastic leukaemia
55,Acute Lymphocytic Leukemia
56,Acute manic episodes of bipolar disorder
57,Acute Massive Pulmonary Embolism
58,Acute maxillary sinusitis
59,Acute migraine attacks
60,Acute Ml
61,Acute mucosal infections of the mouth and pharynx
62,Acute myeloid leukaemia
63,Acute necrotising ulcerative gingivitis
64,Acute non articular rheumatism
65,Acute nonspecific gastroenteritis
66,Acute or chronic narrow angle glaucoma
67,Acute otitis media
68,Acute pain
69,Acute painful shoulder
70,Acute promyelocytic leukaemia
71,Acute psychosis
72,Acute pulmonary oedema
73,Acute purulent conjunctivitis
74,Acute renal failure
75,Acute rheumatic carditis
76,Acute salmonellosis
77,Acute severe asthma
78,Acute solar dermatitis
79,Acute sore throat
80,Acute trauma
81,Acute uncomplicated malaria
82,Adenocarcinoma
83,Adjunct to IVF procedures and other assisted conception techniques
84,Adjunct to levodopa treatment in Parkinson's disease
85,Adjuvant therapy in cardiovascular disease especially in angina and congestive heart failure
86,Adrenocortical insufficiency
87,Adrenocortical insufficiency in Addison’s disease
88,Adult chronic immune (idiopathic) thrombocytopenic purpura (ITP)
89,Adult enuresis
90,Adult Respiratory Distress Syndrome
91,Age related eye disease
92,Age-related macular degeneration (AMD)
93,Aggression
94,Agitation
95,Agoraphobia
96,Aid controlled ventilation
97,Aid in dispersal of extravasated fluids or blood
98,Aid in ophthalmic surgery by staining the anterior capsule of the lens
99,AIDS-related Kaposi's sarcoma
100,Albinism
101,Alcohol dependence
102,Alcohol withdrawal syndrome
103,Alcoholism & drug induced hepatotoxicity
104,Alkalinizing agent
105,Allergic anaphylactic shock
106,Allergic and inflammatory conditions of the ear
107,Allergic and inflammatory conditions of the eye
108,Allergic and inflammatory disorders
109,Allergic blepharitis
