Manufacturer_ID,Manufacturer_Name
1,Abbott Laboratories
2,ACI Limited
3,ACM laboratoire dermatologique
4,ACME Laboratories Ltd.
5,Ad-din Pharmaceuticals Ltd.
6,Adienne Pharma; Switzerland
7,ADM Protexin Ltd.
8,Aexim Pharmaceuticals Ltd.
9,Alco Pharma Ltd.
10,Alien Pharma
11,Alkad Laboratories
12,Allergan; Inc.
13,Allied Pharmaceuticals Ltd.
14,Al-Madina Pharmaceuticals Ltd.
15,Alpha Therapeutic Corporation
16,Ambee Pharmaceuticals Ltd.
17,Amico Laboratories Ltd.
18,Amulet Pharmaceuticals Ltd.
19,APC Pharma Ltd.
20,Apex Pharmaceuticals Ltd.
21,Apollo Pharmaceutical Ltd.
22,AqVida bangladesh
23,AqVida GmbH
24,Arges Life Science Limited
25,Aristopharma Ltd.
26,Asiatic Laboratories Ltd.
27,Astra Biopharmaceuticals Ltd.
28,AstraZeneca pharmaceuticals
29,Aztec Pharmaceuticals Ltd.
30,Baxter
31,Beacon Pharmaceuticals Ltd.
32,Belsen Pharmaceuticals Ltd.
33,Bengal drugs Ltd.
34,Benham Pharmaceuticals Ltd.
35,Beximco Pharmaceuticals Ltd.
36,Biogen Pharmaceuticals Ltd.
37,Biopharma Laboratories Ltd.
38,Biotest
39,Boehringer Ingelheim
40,BOTS Pvt. Limited
41,Bristol Myers Squibb
42,Bristol Pharmaceuticals Ltd.
43,Bronson Laboratories (BD) Ltd.
44,C.B. Fleet Company; USA
45,Centeon Pharma Ltd.
46,Central Pharmaceuticals Ltd.
47,Chairon SPA
48,Chemist Laboratories Ltd.
49,Chepla Pharm-Gmbh
50,Choongwae Pharma Corporation
51,Cipla Limited
52,City Overseas Ltd.
53,Concord Pharmaceuticals Ltd.
54,Cosmic Pharma Ltd.
55,Cosmo Pharma Ltd.
56,Credence Pharmaceuticals Ltd.
57,CSL Behring
58,D16 Pharma & Biotec
59,Dabur India Limited
60,DBL Pharmaceuticals Ltd.
61,Decent Pharma Laboratories Ltd.
62,Delta Pharma Ltd.
63,Desh Pharmaceuticals Ltd.
64,Doctor TIMS Pharmaceuticals Ltd.
65,Doctor’s Chemical Works Ltd.
66,Drug International Ltd.
67,Edruc Limited
68,Efroze Chemical Industries Ltd.
69,EGIS Pharmaceuticals Ltd.
70,Eisai Pharmaceutical company
71,Eli Lilly and Company
72,Empiric Laboratories Ltd.
73,Eskayef Pharmaceuticals Ltd.
74,Ethical Drug Ltd.
75,Euro Pharma Ltd.
76,Everest Pharmaceuticals Ltd.
77,Excella; Germany
78,Fabrique en France
79,Ferring Pharmaceuticals Ltd.
80,FnF Pharmaceuticals Ltd.
81,Fresenius Kabi
82,Gaco Pharmaceuticals Ltd.
83,Gedeon Richter; Hungary
84,General Pharmaceuticals Ltd.
85,Genvio Pharma Ltd.
86,Genzyme Corporation
87,Get Well Limited
88,GlaxoSmithKline
89,Globe Pharmaceuticals Ltd.
90,Globex Pharmaceuticals Ltd.
91,Gonoshasthaya Pharma Ltd.
92,Goodman Pharmaceuticals Ltd.
93,Gosun Pharma Corp.
94,Greenland Pharmaceuticals Ltd.
95,Grifols Biologicals LLC
96,Guardian Healthcare Ltd.
97,Gulf pharmaceutical industries
98,Hallmark Pharmaceuticals Ltd.
99,Hamdard Bangladesh
100,Hamlen Pharmaceuticals; Germany
101,Healthcare Pharmaceuticals Ltd.
102,Hexal AG; Germany
103,HLL Lifecare Limited
104,Hudson Pharmaceuticals Ltd.
105,Ibn Sina Pharmaceuticals Ltd.
106,Incepta Pharmaceuticals Ltd.
107,Indo Bangla Pharmaceutical
108,Innovative Pharma (Albion)
109,Institute of Public Health (IPH)
110,International Agencies (Bd.) Limited
111,Janata Traders
112,Janssen-Cilag
113,Jayson Pharmaceuticals Ltd.
114,Jenphar Bangladesh Ltd.
115,JEO MED; Turkey
116,Johnson & Johnson
117,Kawsar Chemicals
118,Kedrion Biopharma; Italy
119,Kemiko Pharmaceuticals Ltd.
120,Kumudini Pharma Ltd.
121,Kyowa Hakko Kogyo
122,Labaid Pharma Ltd.
123,Laboratoires Panpharma; France
124,Laboratorio Varifarma; Argentina
125,Legends Pharma
126,Leo Pharmaceuticals Ltd.
127,Leon Pharmaceuticals Ltd.
128,Libra Infusions Ltd.
129,Libra Pharmaceuticals Ltd.
130,Lundbeck Pharmaceuticals Ltd.
131,Lyomark Pharma; Germany
132,Marie Stopes Bangladesh
133,Marker Pharma Ltd.
134,Marksman Pharmaceuticals Ltd.
135,Medicon Pharmaceuticals Ltd.
136,Medimet Pharmaceuticals Ltd.
137,MedRx Life Science Ltd.
138,Merck
139,MERZ Pharma GmbH & Co.
140,Millat Pharmaceuticals Ltd.
141,Modern Pharmaceuticals Ltd.
142,Momotaz Pharmaceuticals Ltd.
143,Monicopharma Ltd.
144,MSD
145,MST Pharma
146,Mundipharma (BD) Pvt. Ltd.
147,Mylan Pharmaceutical industry company
148,Mystic Pharmaceuticals Ltd.
149,Naafco Pharma Ltd.
150,Navana Pharmaceuticals Ltd.
151,NEMUS Pharmaceutical Pvt. Ltd.
152,Nicholas
153,Nipa Pharmaceuticals Ltd.
154,Nippon Kayaku Ltd.
155,NIPRO JMI Pharma Ltd.
156,Novartis (Bangladesh) Ltd.
157,Novelta Bestway Pharma Ltd.
158,Novo Healthcare and Pharma Ltd.
159,Novo Nordisk Pharma (Pvt.) Ltd.
160,Novus Pharmaceuticals Ltd.
161,Nuvista Pharma Ltd.
162,Octapharma Pharmazeutica
163,One Pharma Ltd.
164,Opso Saline Ltd.
165,Opsonin Pharma Ltd.
166,Orbit Pharmaceuticals Ltd.
167,Organic Health Care Ltd.
168,Organon
169,Orion Corporation; Finland
170,Orion Infusion Ltd.
171,Orion Pharma Ltd.
172,Oyster Pharmaceuticals Ltd.
173,Pacific Pharmaceuticals Ltd.
174,Peoples Pharma Ltd.
175,Pfizer
176,Pharma Resources
177,Pharmachemie BV
178,Pharmacil Limited
179,Pharmadesh Laboratories Ltd.
180,Pharmasia Limited
181,Pharmik Laboratories Ltd.
182,Phoenix Chemical Laboratory
183,Piramal Critical Care; USA
184,Piramal Enterprises Ltd.
185,Popular Pharmaceuticals Ltd.
186,Premier Pharmaceuticals Ltd.
187,Prime Pharmaceuticals Ltd.
188,Purnava Limited
189,Quality Pharmaceuticals Ltd.
190,Radiant Nutraceuticals Ltd.
191,Radiant Pharmaceuticals Ltd.
192,Rangs Pharmaceuticals Ltd.
193,Reckitt & Benckiser Ltd.
194,Reliance Pharmaceuticals Ltd.
195,Reman Drug Laboratories Ltd.
196,Renata Limited
