Brand_ID,Brand_Name,Type,Dosage_Form_ID,Generic_ID,Strength,Manufacturer_ID
1,1stCef,allopathic,2,299,500 mg,136
2,3Bion,allopathic,92,,100 mg+200 mg+200 mcg,114
3,3-C,allopathic,2,304,200 mg,67
4,3-C,allopathic,2,304,400 mg,67
5,3-C,allopathic,75,304,100 mg/5 ml,67
6,3D,allopathic,2,410,20000 IU,114
7,3D,allopathic,2,410,40000 IU,114
8,3-F,allopathic,92,945,500 mg,67
9,3-Geocef,allopathic,2,304,200 mg,98
10,3-Geocef,allopathic,75,304,100 mg/5 ml,98
11,3RD Cef,allopathic,75,304,100 mg/5 ml,136
12,3RD Cef,allopathic,92,304,200 mg,136
13,3RD Cef,allopathic,92,304,400 mg,136
14,5 FU PhaRes,allopathic,39,666,25 mg/ml,176
15,5-Fluril,allopathic,39,666,25 mg/ml,225
16,5X,allopathic,92,1632,30 mg,196
17,AB Kit,allopathic,92,1066,200 mg+200 mcg,196
18,A-B1,allopathic,92,1572,100 mg,4
19,Abac,allopathic,2,321,500 mg,48
20,Abac,allopathic,72,321,125 mg/1.25 ml,48
21,Abac,allopathic,75,321,125 mg/5 ml,48
22,Abaclor,allopathic,2,298,250 mg,2
23,Abaclor,allopathic,2,298,500 mg,2
24,Abaclor,allopathic,72,298,125 mg/1.25 ml,2
25,Abaclor,allopathic,75,298,125 mg/5 ml,2
26,Abacten,allopathic,75,142,200 mg/5 ml,24
27,Abacten,allopathic,92,142,500 mg,24
28,Abasaglar,allopathic,80,837,100 IU/ml,71
29,Abasaglar,allopathic,80,837,100 IU/ml,71
30,Abdolax,allopathic,69,1486,5 mg/5 ml,106
31,Abdolax,allopathic,92,1486,10 mg,106
32,Abdorin,allopathic,91,499,10 mg/5 ml,165
33,Abdorin,allopathic,92,499,10 mg,165
34,AB-DS,allopathic,9,34,400 mg,187
35,Abecab,allopathic,92,85,5 mg+20 mg,2
36,Abecab,allopathic,92,85,5 mg+40 mg,2
37,Abeclib,allopathic,92,3,200 mg,73
38,Aben-DS,allopathic,9,34,400 mg,224
39,Abentel,allopathic,9,34,400 mg,25
40,Abetis,allopathic,92,1193,10 mg,2
41,Abetis,allopathic,92,1193,20 mg,2
42,Abetis,allopathic,92,1193,40 mg,2
43,Abetis Plus,allopathic,92,1194,20 mg+12.5 mg,2
44,Abetis Plus,allopathic,92,1194,40 mg+12.5 mg,2
45,Abex,allopathic,91,1344,(30 mg+100 mg+1.25 mg)/5 ml,105
46,Abicon,allopathic,70,1464,(500 mg+100 mg)/5 ml,101
47,Abiret,allopathic,92,5,250 mg,66
48,Abixa,allopathic,92,1025,10 mg,2
49,ABO Kit,allopathic,92,1066,200 mg+200 mcg,89
50,Abolib,herbal,2,718,60 mg,233
51,ABpres,allopathic,62,219,0.2%+0.5%,150
52,Absol,allopathic,91,1419,2 mg/5 ml,181
53,AC PR,allopathic,92,9,100 mg,173
54,A-Cal,allopathic,92,253,500 mg,4
55,A-Cal D,allopathic,92,257,500 mg+200 IU,4
56,A-Cal DX,allopathic,92,257,500 mg+400 IU,4
57,A-Calm,allopathic,92,1597,50 mg,4
58,A-Card,allopathic,92,869,20 mg,4
59,A-Care,allopathic,92,178,6 mg+200 mg+50 mg,26
60,Acaril,allopathic,92,8,50 mg,226
61,Accolate,allopathic,92,1693,20 mg,28
62,Accuzith,allopathic,75,142,200 mg/5 ml,60
63,Accuzith,allopathic,92,142,500 mg,60
64,Ace,allopathic,70,1238,120 mg/5 ml,217
65,Ace,allopathic,72,1238,80 mg/ml,217
66,Ace,allopathic,89,1238,125 mg,217
