PackageContainer_ID,Brand_ID,Container_Size,Unit_Price,Container_Type
1,5,100 ml bottle,195.0,Bottle
2,10,50 ml bottle,175.0,Bottle
3,14,500 mg vial,457.0,Vial
4,17,5 tablet kit,300.0,Tablet Kit
5,20,15 ml bottle,50.0,Bottle
6,21,100 ml bottle,81.92,Bottle
7,24,15 ml bottle,125.85,Bottle
8,25,100 ml bottle,201.35,Bottle
9,26,30 ml bottle,130.0,Bottle
10,28,3 ml cartridge,723.4,Cartridge
11,30,100 ml bottle,150.0,Bottle
12,32,50 ml bottle,30.11,Bottle
13,45,100 ml bottle,35.0,Bottle
14,46,200 ml bottle,150.0,Bottle
15,49,5 tablet kit,280.0,Tablet Kit
16,51,5 ml drop,110.0,Drop
17,62,35 ml bottle,170.0,Bottle
18,64,60 ml bottle,20.7,Bottle
19,65,30 ml bottle,20.7,Bottle
20,86,200 ml bottle,55.0,Bottle
21,89,100 ml bottle,78.0,Bottle
22,93,15 ml bottle,42.66,Bottle
23,94,100 ml bottle,77.52,Bottle
24,100,60 ml bottle,16.11,Bottle
25,101,15 ml bottle,11.0,Bottle
26,111,250 mg vial,400.0,Vial
27,112,500 mg vial,700.0,Vial
28,113,3 gm tube,45.17,Tube
29,114,70 ml bottle,125.47,Bottle
30,118,5 gm tube,35.0,Tube
31,124,30 ml bottle,20.7,Bottle
32,127,100 mg sachet,10.0,Sachet
33,136,5 ml drop,400.0,Drop
34,145,5 ml drop,65.0,Drop
35,151,3 ml BioPen,825.0,Pen
36,152,3 ml vial,450.0,Vial
37,153,3 ml biopen,825.0,Pen
38,154,3 ml vial,450.0,Vial
39,155,100 ml bottle,45.3,Bottle
40,159,1 gm vial,191.29,Vial
41,160,250 mg vial,100.3,Vial
42,161,500 mg vial,130.39,Vial
43,162,1 gm vial,191.29,Vial
44,163,250 mg vial,100.3,Vial
45,164,2 gm vial,302.04,Vial
46,165,500 mg vial,130.39,Vial
47,166,15 ml bottle,25.08,Bottle
48,167,60 ml bottle,30.09,Bottle
49,169,60 ml bottle,55.0,Bottle
50,172,10 gm tube,60.0,Tube
51,173,10 gm tube,150.0,Tube
52,178,10 gm tube,45.13,Tube
53,180,15 gm tube,60.18,Tube
54,181,15 gm tube,65.45,Tube
55,184,10 gm tube,45.0,Tube
56,187,250 mg vial,20.0,Vial
57,188,500 mg vial,28.43,Vial
58,189,100 ml bottle,45.0,Bottle
59,191,250 mg vial,19.43,Vial
60,192,500 mg vial,27.32,Vial
61,193,100 ml bottle,39.71,Bottle
62,203,500 ml bottle,155.47,Bottle
63,204,114 ml bottle,60.18,Bottle
64,207,200 ml bottle,70.0,Bottle
65,209,150 ml bottle,649.0,Bottle
66,210,100 gm bar,315.0,Bar
67,211,10 gm tube,160.48,Tube
68,212,15 gm tube,150.0,Tube
69,213,100 ml bottle,100.0,Bottle
70,214,100 ml bottle,40.12,Bottle
71,216,100 ml bottle,40.0,Bottle
72,217,30 ml bottle,175.53,Bottle
73,219,100 ml bottle,60.0,Bottle
74,220,60 ml bottle,20.56,Bottle
75,221,15 ml bottle,12.31,Bottle
76,229,4 billion sachet,42.0,Sachet
77,230,100 ml bottle,40.0,Bottle
78,244,100 ml bottle,50.0,Bottle
79,245,60 ml bottle,16.0,Bottle
80,247,60 ml bottle,20.7,Bottle
81,248,100 ml bottle,23.0,Bottle
82,254,10 ml vial,415.0,Vial
83,255,10 ml vial,268.0,Vial
84,256,3 ml flexpen,421.0,Pen
85,257,3 ml cartridge,419.0,Cartridge
86,258,60 ml bottle,22.0,Bottle
87,265,5 ml drop,100.3,Drop
88,266,1 ml ampoule,55.2,Ampoule
89,272,250 mg vial,400.0,Vial
90,273,500 mg vial,700.0,Vial
91,274,5 gm tube,125.0,Tube
92,275,20 gm tube,200.0,Tube
93,278,20 gm tube,200.0,Tube
94,284,10 gm tube,60.0,Tube
95,288,200 ml bottle,62.19,Bottle
96,289,100 ml bottle,40.0,Bottle
97,290,2 ml ampoule,150.0,Ampoule
98,292,100 ml bottle,80.0,Bottle
99,293,100 ml bottle,120.0,Bottle
100,297,60 ml bottle,28.0,Bottle
101,305,50 ml bottle,160.0,Bottle
102,308,10 gm tube,60.18,Tube
103,309,10 gm tube,80.24,Tube
104,314,60 ml bottle,175.66,Bottle
105,329,100 ml bottle,47.6,Bottle
106,335,100 ml bottle,80.24,Bottle
107,340,15 ml bottle,50.0,Bottle
108,344,15 ml drop,20.0,Drop
109,347,10 ml vial,350.0,Vial
110,348,1 ml ampoule,25.0,Ampoule
111,350,1 ml ampoule,25.08,Ampoule
112,351,1 ml ampoule,25.0,Ampoule
113,352,70 ml bottle,181.0,Bottle
114,353,100 ml bottle,40.13,Bottle
115,359,100 ml bottle,33.71,Bottle
116,364,60 ml bottle,20.0,Bottle
117,367,100 ml bottle,50.0,Bottle
118,372,200 metered doses,410.0,Inhaler
119,373,15 ml drop,30.0,Drop
120,374,0.5 ml ampoule,25.0,Ampoule
121,375,100 ml bottle,20.0,Bottle
122,377,10 gm tube,13.09,Tube
123,378,3 ml ampoule,14.1,Ampoule
124,384,2 ml ampoule,14.1,Ampoule
125,386,50 ml bottle,48.0,Bottle
126,400,21 ml bottle,100.0,Bottle
127,404,250 mg vial,35.25,Vial
128,405,500 mg vial,45.3,Vial
129,406,100 ml bottle,61.61,Bottle
130,409,35 ml bottle,78.27,Bottle
131,410,5 ml drop,100.0,Drop
132,411,3 gm tube,130.0,Tube
133,412,5 ml drop,110.0,Drop
134,413,5 ml drop,100.0,Drop
135,415,50 gm tube,350.0,Tube
136,416,10 ml drop,40.0,Drop
137,417,10 ml drop,45.0,Drop
138,420,10 gm tube,35.11,Tube
139,435,0.5 ml pre-filled syringe,650.0,Pre-filled Syringe
140,437,10 ml bottle,20.1,Bottle
141,444,100 ml bottle,50.0,Bottle
142,445,100 ml bottle,45.0,Bottle
143,455,2 ml ampoule,16.05,Ampoule
144,456,2 ml ampoule,48.14,Ampoule
145,457,5 tablet kit,300.0,Tablet Kit
146,458,20 gm tube,130.0,Tube
147,462,5 ml drop,110.34,Drop
148,463,5 ml drop,175.0,Drop
149,464,5 ml drop,230.0,Drop
150,465,5 ml drop,110.0,Drop
151,466,5 ml drop,160.0,Drop
152,467,5 ml drop,250.0,Drop
153,468,50 ml bottle,48.0,Bottle
154,470,50 ml bottle,48.14,Bottle
155,475,50 ml bottle,48.14,Bottle
156,478,60 ml bottle,25.0,Bottle
157,480,5 ml drop,100.3,Drop
158,481,100 ml bottle,55.0,Bottle
159,483,60 ml bottle,30.2,Bottle
160,485,60 ml bottle,30.0,Bottle
161,490,15 ml bottle,25.08,Bottle
162,491,60 ml bottle,30.1,Bottle
163,502,10 ml bottle,20.0,Bottle
164,506,10 ml bottle,15.0,Bottle
165,517,5 ml drop,400.0,Drop
166,518,5 ml drop,450.0,Drop
167,519,5 ml drop,400.0,Drop
168,522,60 ml bottle,50.0,Bottle
169,524,5 ml drop,100.0,Drop
170,525,5 ml drop,150.08,Drop
171,527,15 ml bottle,125.37,Bottle
172,528,100 ml bottle,190.58,Bottle
173,532,60 ml bottle,20.0,Bottle
