PackageSize_ID,Brand_ID,Pack_Size,Pack_Price
1,2,60,480.0
2,3,12,420.01
3,4,4,192.0
4,6,10,200.0
5,7,7,245.0
6,8,20,280.0
7,9,12,360.0
8,12,4,108.0
9,13,4,200.0
10,18,100,86.0
11,19,40,500.0
12,22,20,422.8
13,23,12,483.24
14,27,6,210.0
15,28,5,3617.0
16,31,30,300.0
17,33,50,100.5
18,35,50,600.0
19,36,50,950.0
20,37,14,16100.0
21,38,100,450.0
22,39,50,250.0
23,40,50,300.0
24,41,50,500.0
25,42,50,900.0
26,43,50,500.0
27,44,30,450.0
28,47,7,3500.0
29,48,20,160.0
30,50,30,300.0
31,53,50,200.0
32,54,100,500.0
33,55,15,97.5
34,56,30,225.0
35,57,50,300.0
36,58,100,143.0
37,59,20,50.0
38,60,30,450.0
39,61,30,787.8
40,63,6,330.0
41,66,30,120.9
42,67,20,100.6
43,68,30,241.8
44,70,500,400.0
45,71,200,502.0
46,72,100,139.0
47,73,100,151.0
48,74,50,200.5
49,75,30,90.0
50,76,30,150.0
51,77,30,240.0
52,78,100,300.0
53,79,30,90.0
54,80,50,151.0
55,81,50,150.0
56,82,100,401.0
57,83,50,350.0
58,84,250,106.0
59,85,200,240.0
60,87,50,200.5
61,88,20,240.0
62,90,100,300.0
63,91,50,330.0
64,92,40,500.0
65,95,100,300.0
66,96,100,300.0
67,97,100,200.0
68,98,50,136.35
69,99,50,200.0
70,102,100,80.0
71,103,200,300.0
72,104,30,210.0
73,105,50,200.0
74,106,50,200.0
75,107,100,200.0
76,108,30,150.0
77,109,30,240.0
78,115,30,421.5
79,116,20,440.0
80,117,10,300.0
81,119,30,120.0
82,121,200,160.0
83,122,100,150.0
84,123,100,139.0
85,125,30,320.0
86,126,100,250.0
87,127,20,200.0
88,128,10,200.0
89,129,100,79.0
90,130,100,300.0
91,131,30,240.9
92,132,100,400.0
93,133,100,400.0
94,134,20,100.0
95,135,20,100.0
96,137,100,401.0
97,138,50,150.5
98,139,10,110.3
99,140,50,350.0
100,141,14,210.0
